"requirement_id","parent_requirement_id","exact_constitution_part","exact_constitution_section","verified_exact_line_range","source_wording","source_digest_sha256","source_summary","source_modality","requirement_type","delivery_target","classification","responsible_layer","dependencies","atomic_acceptance_criteria","related_phase_0_document","evidence_requirement","owner_approval_state","implementation_status","predecessor_requirement_id","atomicity_review","modality_resolution"
"REQ-001.11","REQ-001","Part 1","AI MASTER INSTRUCTION","L15; L59","You must simultaneously think and work as: || Documentation Specialist","ad7a25d9992837525b434687bec33de4ac6554d6a5de1b0381029e268ab166c8","The delivery process includes the perspective and responsibilities of a Documentation Specialist.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-001.11 identifies the responsible reviewer, evidence reviewed, and outcome proving “The delivery process includes the perspective and responsibilities of a Documentation Specialist”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.01","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-001.12","REQ-001","Part 1","AI MASTER INSTRUCTION","L15; L45","You must simultaneously think and work as: || Performance Engineer","078e6f32f6eab9fddc4324d860e058c53496eef09848399cefdc6def3717579a","The delivery process includes the perspective and responsibilities of a Performance Engineer.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-001.12 identifies the responsible reviewer, evidence reviewed, and outcome proving “The delivery process includes the perspective and responsibilities of a Performance Engineer”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.01","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-001.13","REQ-001","Part 1","AI MASTER INSTRUCTION","L15; L21","You must simultaneously think and work as: || Product Owner","cdbc091a4fb056b722491a6a645026b0ffb4ca0fb27f00a3991cb5f5ceb72b0b","The delivery process includes the perspective and responsibilities of a Product Owner.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-001.13 identifies the responsible reviewer, evidence reviewed, and outcome proving “The delivery process includes the perspective and responsibilities of a Product Owner”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.01","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-001.14","REQ-001","Part 1","AI MASTER INSTRUCTION","L15; L25","You must simultaneously think and work as: || Product Strategist","bcdf227ed7b09684c1f922bc9fd0930be000a6e294b01d521f89905a8ef68ab1","The delivery process includes the perspective and responsibilities of a Product Strategist.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-001.14 identifies the responsible reviewer, evidence reviewed, and outcome proving “The delivery process includes the perspective and responsibilities of a Product Strategist”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.01","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-001.15","REQ-001","Part 1","AI MASTER INSTRUCTION","L15; L43","You must simultaneously think and work as: || QA Engineer","1af1be11a1e6d57fe962bc5ecdb5cd4e71854cf451c16d016288d518c10a9ebf","The delivery process includes the perspective and responsibilities of a QA Engineer.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-001.15 identifies the responsible reviewer, evidence reviewed, and outcome proving “The delivery process includes the perspective and responsibilities of a QA Engineer”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.01","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-001.16","REQ-001","Part 1","AI MASTER INSTRUCTION","L15; L51","You must simultaneously think and work as: || SEO Expert","059fa45d9c382705744890756d56d3d91aa42d416bca01e42b06bf96d749d700","The delivery process includes the perspective and responsibilities of a SEO Expert.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-001.16 identifies the responsible reviewer, evidence reviewed, and outcome proving “The delivery process includes the perspective and responsibilities of a SEO Expert”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.01","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-001.17","REQ-001","Part 1","AI MASTER INSTRUCTION","L15; L29","You must simultaneously think and work as: || SaaS Architect","a74e680f561c1d1ab22fa0a8f294e5f44c133c9142d0248916091035cf8fed04","The delivery process includes the perspective and responsibilities of a SaaS Architect.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-001.17 identifies the responsible reviewer, evidence reviewed, and outcome proving “The delivery process includes the perspective and responsibilities of a SaaS Architect”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.01","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-001.18","REQ-001","Part 1","AI MASTER INSTRUCTION","L15; L41","You must simultaneously think and work as: || Security Engineer","cb423071ab3d1ca011b05438a13553dddf203add037624302f2412e4d2232969","The delivery process includes the perspective and responsibilities of a Security Engineer.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-001.18 identifies the responsible reviewer, evidence reviewed, and outcome proving “The delivery process includes the perspective and responsibilities of a Security Engineer”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.01","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-001.19","REQ-001","Part 1","AI MASTER INSTRUCTION","L15; L33","You must simultaneously think and work as: || Senior PHP/Laravel Engineer (or recommend a better stack if justified)","67ac5c4acbd6f3526d5f4c751d05f00e117cb701f8dc4481f8b003ca9d39b21f","The delivery process includes the perspective and responsibilities of a Senior PHP/Laravel Engineer, or a better justified stack specialist.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-001.19 identifies the responsible reviewer, evidence reviewed, and outcome proving “The delivery process includes the perspective and responsibilities of a Senior PHP/Laravel Engineer, or a better justified stack specialist”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.01","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-001.20","REQ-001","Part 1","AI MASTER INSTRUCTION","L15; L31","You must simultaneously think and work as: || Senior Software Architect","54fff0020c4372bfb9b128d9650aeae5be269556e5e162521cba881f8a7bc5c1","The delivery process includes the perspective and responsibilities of a Senior Software Architect.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-001.20 identifies the responsible reviewer, evidence reviewed, and outcome proving “The delivery process includes the perspective and responsibilities of a Senior Software Architect”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.01","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-001.21","REQ-001","Part 1","AI MASTER INSTRUCTION","L15; L27","You must simultaneously think and work as: || Startup Advisor","b72385a00336090000876abd4d204437dfb55feb79fcab1841c1f3eac99ca0ac","The delivery process includes the perspective and responsibilities of a Startup Advisor.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-001.21 identifies the responsible reviewer, evidence reviewed, and outcome proving “The delivery process includes the perspective and responsibilities of a Startup Advisor”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.01","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-001.22","REQ-001","Part 1","AI MASTER INSTRUCTION","L15; L61","You must simultaneously think and work as: || System Analyst","197fd0b3bb5212951a76ffb6db07330e9010523a92bed5f533d99c167d38af12","The delivery process includes the perspective and responsibilities of a System Analyst.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-001.22 identifies the responsible reviewer, evidence reviewed, and outcome proving “The delivery process includes the perspective and responsibilities of a System Analyst”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.01","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-001.23","REQ-001","Part 1","AI MASTER INSTRUCTION","L15; L57","You must simultaneously think and work as: || Technical Writer","27d2025520ca1f1a4341e2890eb317a252cfcd65ad1d50e312947c65738fc15e","The delivery process includes the perspective and responsibilities of a Technical Writer.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-001.23 identifies the responsible reviewer, evidence reviewed, and outcome proving “The delivery process includes the perspective and responsibilities of a Technical Writer”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.01","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-001.24","REQ-001","Part 1","AI MASTER INSTRUCTION","L15; L47","You must simultaneously think and work as: || UI Designer","c31e1af7c479ac949681ad8915c31b6bdd000b553c75c44d82f990059a7d7ed7","The delivery process includes the perspective and responsibilities of a UI Designer.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-001.24 identifies the responsible reviewer, evidence reviewed, and outcome proving “The delivery process includes the perspective and responsibilities of a UI Designer”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.01","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-001.25","REQ-001","Part 1","AI MASTER INSTRUCTION","L15; L49","You must simultaneously think and work as: || UX Researcher","9351dd7c25e0616ed847444d987a39d943c61a1ccd1fc63238fdc6d7e558a8c1","The delivery process includes the perspective and responsibilities of a UX Researcher.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-001.25 identifies the responsible reviewer, evidence reviewed, and outcome proving “The delivery process includes the perspective and responsibilities of a UX Researcher”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.01","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-001.26","REQ-001","Part 1","AI MASTER INSTRUCTION","L63–L65","Do not immediately begin writing code. / Your responsibility is to build a complete business and software ecosystem exactly like a professional software company.","86af1b83e425cfdbdec98290084edbc84116228fc7287e94136e2b794a84549a","The work produces a complete business ecosystem before implementation begins.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-001.26 identifies the responsible reviewer, evidence reviewed, and outcome proving “The work produces a complete business ecosystem before implementation begins”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.02","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-001.27","REQ-001","Part 1","AI MASTER INSTRUCTION","L63–L65","Do not immediately begin writing code. / Your responsibility is to build a complete business and software ecosystem exactly like a professional software company.","86af1b83e425cfdbdec98290084edbc84116228fc7287e94136e2b794a84549a","The work produces a complete software ecosystem before implementation begins.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-001.27 identifies the responsible reviewer, evidence reviewed, and outcome proving “The work produces a complete software ecosystem before implementation begins”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.02","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-002.01","REQ-002","Part 1","YOUR PRIMARY OBJECTIVE","L69–L71","YOUR PRIMARY OBJECTIVE / Design and build EarnPearls, a modern, scalable, secure, trustworthy, and highly optimized Rewards Platform.","d615afbd1ab9342092b5f4a072aaa54cf08f4f42fcdc87f650fcb918b5ca1774","EarnPearls is designed and built as a highly optimized rewards platform.","MUST","Non-functional","V1","CD","Shared","None directly identified","PASS when EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13 defines an owner-approved measurable standard for “EarnPearls is designed and built as a highly optimized rewards platform” and recorded review or measurement evidence for REQ-002.01 meets it; FAIL when the standard is undefined or the measured result is below it.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Linked automated acceptance-test result and relevant audit/event evidence.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.03","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-002.02","REQ-002","Part 1","YOUR PRIMARY OBJECTIVE","L69–L71","YOUR PRIMARY OBJECTIVE / Design and build EarnPearls, a modern, scalable, secure, trustworthy, and highly optimized Rewards Platform.","d615afbd1ab9342092b5f4a072aaa54cf08f4f42fcdc87f650fcb918b5ca1774","EarnPearls is designed and built as a modern rewards platform.","MUST","Non-functional","V1","CD","Shared","None directly identified","PASS when EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13 defines an owner-approved measurable standard for “EarnPearls is designed and built as a modern rewards platform” and recorded review or measurement evidence for REQ-002.02 meets it; FAIL when the standard is undefined or the measured result is below it.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Linked automated acceptance-test result and relevant audit/event evidence.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.03","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-002.03","REQ-002","Part 1","YOUR PRIMARY OBJECTIVE","L69–L71","YOUR PRIMARY OBJECTIVE / Design and build EarnPearls, a modern, scalable, secure, trustworthy, and highly optimized Rewards Platform.","d615afbd1ab9342092b5f4a072aaa54cf08f4f42fcdc87f650fcb918b5ca1774","EarnPearls is designed and built as a scalable rewards platform.","MUST","Non-functional","V1","CD","Shared","None directly identified","PASS when EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13 defines an owner-approved measurable standard for “EarnPearls is designed and built as a scalable rewards platform” and recorded review or measurement evidence for REQ-002.03 meets it; FAIL when the standard is undefined or the measured result is below it.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Linked automated acceptance-test result and relevant audit/event evidence.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.03","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-002.04","REQ-002","Part 1","YOUR PRIMARY OBJECTIVE","L69–L71","YOUR PRIMARY OBJECTIVE / Design and build EarnPearls, a modern, scalable, secure, trustworthy, and highly optimized Rewards Platform.","d615afbd1ab9342092b5f4a072aaa54cf08f4f42fcdc87f650fcb918b5ca1774","EarnPearls is designed and built as a secure rewards platform.","MUST","Non-functional","V1","CD","Shared","None directly identified","PASS when EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13 defines an owner-approved measurable standard for “EarnPearls is designed and built as a secure rewards platform” and recorded review or measurement evidence for REQ-002.04 meets it; FAIL when the standard is undefined or the measured result is below it.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Linked automated acceptance-test result and relevant audit/event evidence.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.03","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-002.05","REQ-002","Part 1","YOUR PRIMARY OBJECTIVE","L69–L71","YOUR PRIMARY OBJECTIVE / Design and build EarnPearls, a modern, scalable, secure, trustworthy, and highly optimized Rewards Platform.","d615afbd1ab9342092b5f4a072aaa54cf08f4f42fcdc87f650fcb918b5ca1774","EarnPearls is designed and built as a trustworthy rewards platform.","MUST","Non-functional","V1","CD","Shared","None directly identified","PASS when EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13 defines an owner-approved measurable standard for “EarnPearls is designed and built as a trustworthy rewards platform” and recorded review or measurement evidence for REQ-002.05 meets it; FAIL when the standard is undefined or the measured result is below it.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Linked automated acceptance-test result and relevant audit/event evidence.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.03","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-002.06","REQ-002","Part 1","YOUR PRIMARY OBJECTIVE","L73","EarnPearls is NOT merely a survey website.","39790dfab9337cad0876b598eaf6dc0892e86191296916a5a207d853b37b3f05","EarnPearls is not treated as merely a survey website.","MUST","Non-functional","V1","CD","Shared","None directly identified","PASS when EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13 defines an owner-approved measurable standard for “EarnPearls is not treated as merely a survey website” and recorded review or measurement evidence for REQ-002.06 meets it; FAIL when the standard is undefined or the measured result is below it.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Linked automated acceptance-test result and relevant audit/event evidence.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.03","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
