"predecessor_requirement_id","replacement_requirement_id","change_type","exact_constitution_part","exact_constitution_section","verified_exact_line_range","change_summary"
"REQ-001.01","REQ-001.12","Retained and re-anchored","Part 1","AI MASTER INSTRUCTION","L15; L45","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.01","REQ-001.13","Retained and re-anchored","Part 1","AI MASTER INSTRUCTION","L15; L21","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.01","REQ-001.14","Retained and re-anchored","Part 1","AI MASTER INSTRUCTION","L15; L25","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.01","REQ-001.15","Retained and re-anchored","Part 1","AI MASTER INSTRUCTION","L15; L43","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.01","REQ-001.16","Retained and re-anchored","Part 1","AI MASTER INSTRUCTION","L15; L51","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.01","REQ-001.17","Retained and re-anchored","Part 1","AI MASTER INSTRUCTION","L15; L29","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.01","REQ-001.18","Retained and re-anchored","Part 1","AI MASTER INSTRUCTION","L15; L41","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.01","REQ-001.19","Retained and re-anchored","Part 1","AI MASTER INSTRUCTION","L15; L33","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.01","REQ-001.20","Retained and re-anchored","Part 1","AI MASTER INSTRUCTION","L15; L31","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.01","REQ-001.21","Retained and re-anchored","Part 1","AI MASTER INSTRUCTION","L15; L27","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.01","REQ-001.22","Retained and re-anchored","Part 1","AI MASTER INSTRUCTION","L15; L61","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.01","REQ-001.23","Retained and re-anchored","Part 1","AI MASTER INSTRUCTION","L15; L57","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.01","REQ-001.24","Retained and re-anchored","Part 1","AI MASTER INSTRUCTION","L15; L47","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.01","REQ-001.25","Retained and re-anchored","Part 1","AI MASTER INSTRUCTION","L15; L49","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.02","REQ-001.26","Retained and re-anchored","Part 1","AI MASTER INSTRUCTION","L63–L65","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.02","REQ-001.27","Retained and re-anchored","Part 1","AI MASTER INSTRUCTION","L63–L65","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.03","REQ-002.01","Retained and re-anchored","Part 1","YOUR PRIMARY OBJECTIVE","L69–L71","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.03","REQ-002.02","Retained and re-anchored","Part 1","YOUR PRIMARY OBJECTIVE","L69–L71","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.03","REQ-002.03","Retained and re-anchored","Part 1","YOUR PRIMARY OBJECTIVE","L69–L71","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.03","REQ-002.04","Retained and re-anchored","Part 1","YOUR PRIMARY OBJECTIVE","L69–L71","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.03","REQ-002.05","Retained and re-anchored","Part 1","YOUR PRIMARY OBJECTIVE","L69–L71","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.03","REQ-002.06","Retained and re-anchored","Part 1","YOUR PRIMARY OBJECTIVE","L73","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.04","REQ-002.07","Retained and re-anchored","Part 1","YOUR PRIMARY OBJECTIVE","L73–L75","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.03","REQ-002.08","Retained and re-anchored","Part 1","YOUR PRIMARY OBJECTIVE","L75","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.03","REQ-002.09","Retained and re-anchored","Part 1","YOUR PRIMARY OBJECTIVE","L75","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"—","REQ-002.10","Added from omitted canonical clause","Part 1","YOUR PRIMARY OBJECTIVE","L107","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.08","REQ-002.11","Retained and re-anchored","Part 1","YOUR PRIMARY OBJECTIVE","L109; L115","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.11","REQ-002.12","Retained and re-anchored","Part 1","YOUR PRIMARY OBJECTIVE","L109; L121","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.06","REQ-002.13","Retained and re-anchored","Part 1","YOUR PRIMARY OBJECTIVE","L109; L111","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.07","REQ-002.14","Retained and re-anchored","Part 1","YOUR PRIMARY OBJECTIVE","L109; L113","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.09","REQ-002.15","Retained and re-anchored","Part 1","YOUR PRIMARY OBJECTIVE","L109; L117","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.10","REQ-002.16","Retained and re-anchored","Part 1","YOUR PRIMARY OBJECTIVE","L109; L119","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.05","REQ-002.17","Retained and re-anchored","Part 1","YOUR PRIMARY OBJECTIVE","L123","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.01","REQ-003.01","Retained and re-anchored","Part 1","IMPORTANT WORKFLOW","L127–L131; L301","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.06","REQ-004.01","Retained and re-anchored","Part 1","Phase 1","L133; L143","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.02","REQ-004.02","Retained and re-anchored","Part 1","Phase 1","L133; L135","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.04","REQ-004.03","Retained and re-anchored","Part 1","Phase 1","L133; L139","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.05","REQ-004.04","Retained and re-anchored","Part 1","Phase 1","L133; L141","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.07","REQ-004.05","Retained and re-anchored","Part 1","Phase 1","L133; L145","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.03","REQ-004.06","Retained and re-anchored","Part 1","Phase 1","L133; L137","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.08","REQ-005.01","Retained and re-anchored","Part 1","Phase 2","L149; L151","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.09","REQ-005.02","Retained and re-anchored","Part 1","Phase 2","L153","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.09","REQ-005.03","Retained and re-anchored","Part 1","Phase 2","L155","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.13","REQ-005.04","Retained and re-anchored","Part 1","Phase 2","L157; L165","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.15","REQ-005.05","Retained and re-anchored","Part 1","Phase 2","L157; L169","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.20","REQ-005.06","Retained and re-anchored","Part 1","Phase 2","L157; L179","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.24","REQ-005.07","Retained and re-anchored","Part 1","Phase 2","L157; L187","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.22","REQ-005.08","Retained and re-anchored","Part 1","Phase 2","L157; L183","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.18","REQ-005.09","Retained and re-anchored","Part 1","Phase 2","L157; L175","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.14","REQ-005.10","Retained and re-anchored","Part 1","Phase 2","L157; L167","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.21","REQ-005.11","Retained and re-anchored","Part 1","Phase 2","L157; L181","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.16","REQ-005.12","Retained and re-anchored","Part 1","Phase 2","L157; L171","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.10","REQ-005.13","Retained and re-anchored","Part 1","Phase 2","L157; L159","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.25","REQ-005.14","Retained and re-anchored","Part 1","Phase 2","L157; L189","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.12","REQ-005.15","Retained and re-anchored","Part 1","Phase 2","L157; L163","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.23","REQ-005.16","Retained and re-anchored","Part 1","Phase 2","L157; L185","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.17","REQ-005.17","Retained and re-anchored","Part 1","Phase 2","L157; L173","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.19","REQ-005.18","Retained and re-anchored","Part 1","Phase 2","L157; L177","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.11","REQ-005.19","Retained and re-anchored","Part 1","Phase 2","L157; L161","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.27","REQ-006.01","Retained and re-anchored","Part 1","Phase 3","L193; L197","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.28","REQ-006.02","Retained and re-anchored","Part 1","Phase 3","L193; L199","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.29","REQ-006.03","Retained and re-anchored","Part 1","Phase 3","L193; L201","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.30","REQ-006.04","Retained and re-anchored","Part 1","Phase 3","L193; L203","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.26","REQ-006.05","Retained and re-anchored","Part 1","Phase 3","L193; L195","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.31","REQ-007.01","Retained and re-anchored","Part 1","Phase 4","L207–L209","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.35","REQ-007.02","Retained and re-anchored","Part 1","Phase 4","L211; L219","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.39","REQ-007.03","Retained and re-anchored","Part 1","Phase 4","L211; L227","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.37","REQ-007.04","Retained and re-anchored","Part 1","Phase 4","L211; L223","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.32","REQ-007.05","Retained and re-anchored","Part 1","Phase 4","L211; L213","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.38","REQ-007.06","Retained and re-anchored","Part 1","Phase 4","L211; L225","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.40","REQ-007.07","Retained and re-anchored","Part 1","Phase 4","L211; L229","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.33","REQ-007.08","Retained and re-anchored","Part 1","Phase 4","L211; L215","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.36","REQ-007.09","Retained and re-anchored","Part 1","Phase 4","L211; L221","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.34","REQ-007.10","Retained and re-anchored","Part 1","Phase 4","L211; L217","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.41","REQ-007.11","Retained and re-anchored","Part 1","Phase 4","L231–L233","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.41","REQ-007.12","Retained and re-anchored","Part 1","Phase 4","L231–L233","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.44","REQ-008.01","Retained and re-anchored","Part 1","Phase 5","L237; L243","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.43","REQ-008.02","Retained and re-anchored","Part 1","Phase 5","L237; L241","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.45","REQ-008.03","Retained and re-anchored","Part 1","Phase 5","L237; L245","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.42","REQ-008.04","Retained and re-anchored","Part 1","Phase 5","L237; L239","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.46","REQ-009.01","Retained and re-anchored","Part 1","Phase 6","L249–L251","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.49","REQ-009.02","Retained and re-anchored","Part 1","Phase 6","L253; L259","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.59","REQ-009.03","Retained and re-anchored","Part 1","Phase 6","L253; L279","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.50","REQ-009.04","Retained and re-anchored","Part 1","Phase 6","L253; L261","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.51","REQ-009.05","Retained and re-anchored","Part 1","Phase 6","L253; L263","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.48","REQ-009.06","Retained and re-anchored","Part 1","Phase 6","L253; L257","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.62","REQ-009.07","Retained and re-anchored","Part 1","Phase 6","L253; L285","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.60","REQ-009.08","Retained and re-anchored","Part 1","Phase 6","L253; L281","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.61","REQ-009.09","Retained and re-anchored","Part 1","Phase 6","L253; L283","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.47","REQ-009.10","Retained and re-anchored","Part 1","Phase 6","L253; L255","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.58","REQ-009.11","Retained and re-anchored","Part 1","Phase 6","L253; L277","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.57","REQ-009.12","Retained and re-anchored","Part 1","Phase 6","L253; L275","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.55","REQ-009.13","Retained and re-anchored","Part 1","Phase 6","L253; L271","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.56","REQ-009.14","Retained and re-anchored","Part 1","Phase 6","L253; L273","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.53","REQ-009.15","Retained and re-anchored","Part 1","Phase 6","L253; L267","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.54","REQ-009.16","Retained and re-anchored","Part 1","Phase 6","L253; L269","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.52","REQ-009.17","Retained and re-anchored","Part 1","Phase 6","L253; L265","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.64","REQ-010.01","Retained and re-anchored","Part 1","Phase 7","L289; L293","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.66","REQ-010.02","Retained and re-anchored","Part 1","Phase 7","L289; L297","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.65","REQ-010.03","Retained and re-anchored","Part 1","Phase 7","L289; L295","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.67","REQ-010.04","Retained and re-anchored","Part 1","Phase 7","L289; L299","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-002.63","REQ-010.05","Retained and re-anchored","Part 1","Phase 7","L289; L291","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.01","REQ-011.01","Retained and re-anchored","Part 1","BUSINESS SUMMARY","L305–L313","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.02","REQ-011.02","Retained and re-anchored","Part 1","BUSINESS SUMMARY","L311–L313","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.03","REQ-011.03","Retained and re-anchored","Part 1","BUSINESS SUMMARY","L315; L319","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.03","REQ-011.04","Retained and re-anchored","Part 1","BUSINESS SUMMARY","L315; L333","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.03","REQ-011.05","Retained and re-anchored","Part 1","BUSINESS SUMMARY","L315; L323","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.03","REQ-011.06","Retained and re-anchored","Part 1","BUSINESS SUMMARY","L315; L317","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.03","REQ-011.07","Retained and re-anchored","Part 1","BUSINESS SUMMARY","L315; L321","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.03","REQ-011.08","Retained and re-anchored","Part 1","BUSINESS SUMMARY","L315; L325","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.03","REQ-011.09","Retained and re-anchored","Part 1","BUSINESS SUMMARY","L315; L331","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.03","REQ-011.10","Retained and re-anchored","Part 1","BUSINESS SUMMARY","L315; L327","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.03","REQ-011.11","Retained and re-anchored","Part 1","BUSINESS SUMMARY","L315; L329","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.08","REQ-012.01","Retained and re-anchored","Part 1","TARGET COUNTRIES","L339; L349","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.16","REQ-012.02","Retained and re-anchored","Part 1","TARGET COUNTRIES","L339; L365","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.10","REQ-012.03","Retained and re-anchored","Part 1","TARGET COUNTRIES","L339; L353","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.06","REQ-012.04","Retained and re-anchored","Part 1","TARGET COUNTRIES","L339; L345","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.09","REQ-012.05","Retained and re-anchored","Part 1","TARGET COUNTRIES","L339; L351","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.07","REQ-012.06","Retained and re-anchored","Part 1","TARGET COUNTRIES","L339; L347","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.15","REQ-012.07","Retained and re-anchored","Part 1","TARGET COUNTRIES","L339; L363","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.14","REQ-012.08","Retained and re-anchored","Part 1","TARGET COUNTRIES","L339; L361","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.12","REQ-012.09","Retained and re-anchored","Part 1","TARGET COUNTRIES","L339; L357","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.11","REQ-012.10","Retained and re-anchored","Part 1","TARGET COUNTRIES","L339; L355","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.13","REQ-012.11","Retained and re-anchored","Part 1","TARGET COUNTRIES","L339; L359","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.05","REQ-012.12","Retained and re-anchored","Part 1","TARGET COUNTRIES","L339; L343","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.04","REQ-012.13","Retained and re-anchored","Part 1","TARGET COUNTRIES","L339; L341","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.19","REQ-012.14","Retained and re-anchored","Part 1","TARGET COUNTRIES","L367","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.20","REQ-012.15","Retained and re-anchored","Part 1","TARGET COUNTRIES","L367","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.18","REQ-012.16","Retained and re-anchored","Part 1","TARGET COUNTRIES","L367","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.17","REQ-012.17","Retained and re-anchored","Part 1","TARGET COUNTRIES","L367","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-003.21","REQ-012.18","Retained and re-anchored","Part 1","TARGET COUNTRIES","L369","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-004.01","REQ-013.01","Retained and re-anchored","Part 1","PLATFORM LANGUAGE","L373–L377","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-004.09","REQ-013.02","Retained and re-anchored","Part 1","PLATFORM LANGUAGE","L379; L393","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-004.08","REQ-013.03","Retained and re-anchored","Part 1","PLATFORM LANGUAGE","L379; L391","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-004.03","REQ-013.04","Retained and re-anchored","Part 1","PLATFORM LANGUAGE","L379; L381","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-004.10","REQ-013.05","Retained and re-anchored","Part 1","PLATFORM LANGUAGE","L379; L395","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-004.07","REQ-013.06","Retained and re-anchored","Part 1","PLATFORM LANGUAGE","L379; L389","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-004.05","REQ-013.07","Retained and re-anchored","Part 1","PLATFORM LANGUAGE","L379; L385","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-004.06","REQ-013.08","Retained and re-anchored","Part 1","PLATFORM LANGUAGE","L379; L387","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-004.04","REQ-013.09","Retained and re-anchored","Part 1","PLATFORM LANGUAGE","L379; L383","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-004.02","REQ-013.10","Retained and re-anchored","Part 1","PLATFORM LANGUAGE","L379","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-004.11","REQ-013.11","Retained and re-anchored","Part 1","PLATFORM LANGUAGE","L397","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-004.11","REQ-013.12","Retained and re-anchored","Part 1","PLATFORM LANGUAGE","L397","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
