"record_type","record_id","predecessor_requirement_id","exact_constitution_part","verified_exact_line_range","source_wording","source_summary","disposition","counted_in_formal_req_total"
"MAY_SOURCE_OPTION","MAY-014","REQ-039.02","Part 4","L1705–L1739","Suggested high-level modules include: / Authentication / User Management / Wallet / Rewards / Surveys / Withdrawals / Notifications / CMS / Blog / Support / Leaderboards / Admin ERP / Analytics / Settings / Audit Logs / Background Jobs / Integrations","The architecture evaluates the suggested authentication, user, wallet, rewards, surveys, withdrawals, notifications, CMS, blog, support, leaderboards, admin, analytics, settings, audit, jobs, and integration module boundaries.","Pure MAY, possible, suggested, or optional example; excluded from formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-015","REQ-045.02","Part 4","L1931–L1941","Suggested phases: / Alpha (internal) / Closed Beta / Open Beta / Public Launch / Incremental feature releases","Release planning evaluates internal alpha, closed beta, open beta, public launch, and incremental releases.","Pure MAY, possible, suggested, or optional example; excluded from formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-016","REQ-049.02","Part 5","L2127–L2143","Examples include: / Identity & Authentication / Users / Credentials / Sessions / Email Verification / Password Reset / Login History / Devices","The identity and authentication domain evaluates users, credentials, sessions, email verification, password reset, login history, and devices as distinct concerns.","Pure MAY, possible, suggested, or optional example; excluded from formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-017","REQ-060.09","Part 6","L2663; L2665","Capabilities may include: || Available Surveys","Survey APIs may support available-survey listing.","Pure MAY, possible, suggested, or optional example; excluded from formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-018","REQ-060.10","Part 6","L2663; L2667","Capabilities may include: || Survey Details","Survey APIs may support survey details.","Pure MAY, possible, suggested, or optional example; excluded from formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-019","REQ-060.11","Part 6","L2663; L2669","Capabilities may include: || Survey Launch","Survey APIs may support survey launch.","Pure MAY, possible, suggested, or optional example; excluded from formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-020","REQ-060.12","Part 6","L2663; L2671","Capabilities may include: || Completion Status","Survey APIs may support completion status.","Pure MAY, possible, suggested, or optional example; excluded from formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-021","REQ-060.13","Part 6","L2663; L2673","Capabilities may include: || Reward Updates","Survey APIs may support reward updates.","Pure MAY, possible, suggested, or optional example; excluded from formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-022","REQ-060.14","Part 6","L2663; L2675","Capabilities may include: || Survey History","Survey APIs may support survey history.","Pure MAY, possible, suggested, or optional example; excluded from formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-023","REQ-068.05","Part 7","L3115–L3143","Suggested direction: / Primary Color / Deep Blue / Secondary / Emerald Green / Success / Green / Warning / Amber / Danger / Red / Neutral / White / Light Gray / Dark Gray","The palette evaluates the suggested deep-blue, emerald-green, success, warning, danger, and neutral directions without treating them as pre-approved selections.","Pure MAY, possible, suggested, or optional example; excluded from formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-024","REQ-070.24","Part 7","L3379","Achievement Badges (future)","Achievement badges are a future leaderboard option.","Pure MAY, possible, suggested, or optional example; excluded from formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-025","REQ-071.16","Part 7","L3433; L3447","Design goals: || Dark mode (optional)","Admin UX may provide dark mode.","Pure MAY, possible, suggested, or optional example; excluded from formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-026","REQ-078.12","Part 8","L4037–L4047","Possible features: / Referral links / Referral tracking / Reward rules / Campaign management / Fraud prevention","Future referral architecture considers links, tracking, reward rules, campaign management, and fraud prevention.","Pure MAY, possible, suggested, or optional example; excluded from formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-027","REQ-082.04","Part 9","L4323–L4331","Possible options may include: / PHP/Laravel / Node.js / Serverless Functions / Other modern backend approaches","The backend evaluation considers Laravel, Node.js, serverless functions, and other modern approaches without preselecting one.","Pure MAY, possible, suggested, or optional example; excluded from formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-028","REQ-012.02","Part 2","L671–L693","Example: / Survey Completed / ↓ / Pending / ↓ / Validated / ↓ / Mature / ↓ / Withdrawable / ↓ / Paid","The earning lifecycle can represent Survey Completed, Pending, Validated, Mature, Withdrawable, and Paid in the stated order.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-029","REQ-025.03","Part 3","L1229; L1231","Examples of configurable permissions include: || Login","Limit Templates can control login.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-030","REQ-025.04","Part 3","L1229; L1233","Examples of configurable permissions include: || Profile Editing","Limit Templates can control profile editing.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-031","REQ-025.05","Part 3","L1229; L1235","Examples of configurable permissions include: || Email Change","Limit Templates can control email changes.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-032","REQ-025.06","Part 3","L1229; L1237","Examples of configurable permissions include: || Password Change","Limit Templates can control password changes.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-033","REQ-025.07","Part 3","L1229; L1239","Examples of configurable permissions include: || Survey Access","Limit Templates can control survey access.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-034","REQ-025.08","Part 3","L1229; L1241","Examples of configurable permissions include: || Wallet Access","Limit Templates can control wallet access.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-035","REQ-025.09","Part 3","L1229; L1243","Examples of configurable permissions include: || Withdrawal Access","Limit Templates can control withdrawal access.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-036","REQ-025.10","Part 3","L1229; L1245","Examples of configurable permissions include: || Notifications","Limit Templates can control notifications.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-037","REQ-025.11","Part 3","L1229; L1247","Examples of configurable permissions include: || Blog Access","Limit Templates can control blog access.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-038","REQ-025.12","Part 3","L1229; L1249","Examples of configurable permissions include: || Referral Module (future)","Limit Templates can control the future referral module.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-039","REQ-025.13","Part 3","L1229; L1251","Examples of configurable permissions include: || Promotional Features (future)","Limit Templates can control future promotional features.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-040","REQ-025.14","Part 3","L1229; L1253","Examples of configurable permissions include: || Support Ticket Creation","Limit Templates can control support-ticket creation.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-041","REQ-032.02","Part 3","L1411–L1425","Examples: / User modifications / Permission changes / Withdrawal approvals / Settings changes / Content updates / Login attempts / Failed authentication events","The audit scope covers user modifications, permission changes, withdrawal approvals, settings changes, content updates, login attempts, and failed authentication events.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-042","REQ-040.10","Part 4","L1771–L1781","Examples: / Success messages / Progress indicators / Validation errors / Helpful explanations / Confirmation dialogs for destructive actions","Destructive user actions use confirmation dialogs.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-043","REQ-042.03","Part 4","L1833; L1835","Examples include: || Points conversion","Points conversion is configurable.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-044","REQ-042.04","Part 4","L1833; L1837","Examples include: || Withdrawal thresholds","Withdrawal thresholds are configurable.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-045","REQ-042.05","Part 4","L1833; L1839","Examples include: || Feature availability","Feature availability is configurable.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-046","REQ-042.06","Part 4","L1833; L1841","Examples include: || Country availability","Country availability is configurable.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-047","REQ-042.07","Part 4","L1833; L1843","Examples include: || Notification templates","Notification templates are configurable.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-048","REQ-042.08","Part 4","L1833; L1845","Examples include: || Announcement banners","Announcement banners are configurable.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-049","REQ-042.09","Part 4","L1833; L1847","Examples include: || Maintenance mode","Maintenance mode is configurable.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-050","REQ-042.10","Part 4","L1833; L1849","Examples include: || Reward campaigns","Reward campaigns are configurable.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-051","REQ-042.11","Part 4","L1833; L1851","Examples include: || Leaderboard settings","Leaderboard settings are configurable.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-052","REQ-043.02","Part 4","L1859; L1861","Examples: || Daily Active Users","Analytics measures daily active users.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-053","REQ-043.03","Part 4","L1859; L1863","Examples: || Weekly Active Users","Analytics measures weekly active users.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-054","REQ-043.04","Part 4","L1859; L1865","Examples: || Monthly Active Users","Analytics measures monthly active users.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-055","REQ-043.05","Part 4","L1859; L1867","Examples: || Registration Conversion","Analytics measures registration conversion.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-056","REQ-043.06","Part 4","L1859; L1869","Examples: || Email Verification Rate","Analytics measures email-verification rate.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-057","REQ-043.07","Part 4","L1859; L1871","Examples: || Survey Completion Rate","Analytics measures survey-completion rate.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-058","REQ-043.08","Part 4","L1859; L1873","Examples: || Withdrawal Request Rate","Analytics measures withdrawal-request rate.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-059","REQ-043.09","Part 4","L1859; L1875","Examples: || Support Response Time","Analytics measures support-response time.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-060","REQ-043.10","Part 4","L1859; L1877","Examples: || User Retention","Analytics measures user retention.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-061","REQ-043.11","Part 4","L1859; L1879","Examples: || Blog Traffic","Analytics measures blog traffic.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-062","REQ-043.12","Part 4","L1859; L1881","Examples: || Feature Usage","Analytics measures feature usage.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-063","REQ-044.08","Part 4","L1909–L1921","Examples: / Email sending / Notification processing / Scheduled synchronization / Data cleanup / Report generation / Maintenance routines","The background-processing design covers email, notifications, scheduled synchronization, cleanup, reporting, and maintenance workloads.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-064","REQ-049.03","Part 5","L2149; L2151","Store information such as: || Public profile","The user-profile model can store a public profile.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-065","REQ-049.04","Part 5","L2149; L2153","Store information such as: || Country","The user-profile model can store country.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-066","REQ-049.05","Part 5","L2149; L2155","Store information such as: || Time zone","The user-profile model can store time zone.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-067","REQ-049.06","Part 5","L2149; L2157","Store information such as: || Currency display preference","The user-profile model can store currency-display preference.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-068","REQ-049.07","Part 5","L2149; L2159","Store information such as: || Notification preferences","The user-profile model can store notification preferences.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-069","REQ-049.08","Part 5","L2149; L2161","Store information such as: || Account status","The user-profile model can store account status.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-070","REQ-051.02","Part 5","L2195; L2197","Track information such as: || Survey availability","The survey data model tracks survey availability.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-071","REQ-051.03","Part 5","L2195; L2199","Track information such as: || User participation","The survey data model tracks user participation.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-072","REQ-051.04","Part 5","L2195; L2201","Track information such as: || Status","The survey data model tracks status.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-073","REQ-051.05","Part 5","L2195; L2203","Track information such as: || Reward","The survey data model tracks reward.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-074","REQ-051.06","Part 5","L2195; L2205","Track information such as: || Completion timestamps","The survey data model tracks completion timestamps.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-075","REQ-051.07","Part 5","L2195; L2207","Track information such as: || Validation status","The survey data model tracks validation status.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-076","REQ-054.14","Part 5","L2317–L2325","Examples include: / Settings changes / User moderation / Permission changes / Administrative actions","The audit domain covers settings changes, user moderation, permission changes, and administrative actions.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-077","REQ-055.02","Part 5","L2341–L2351","Examples: / Logs / Audit records / Notifications / Sessions / Support tickets","Retention recommendations cover logs, audit records, notifications, sessions, and support tickets.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-078","REQ-059.11","Part 6","L2623; L2625","Support operations such as: || Profile Retrieval","User APIs support profile retrieval.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-079","REQ-059.12","Part 6","L2623; L2627","Support operations such as: || Profile Updates","User APIs support profile updates.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-080","REQ-059.13","Part 6","L2623; L2629","Support operations such as: || Notification Preferences","User APIs support notification preferences.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-081","REQ-059.14","Part 6","L2623; L2631","Support operations such as: || Security Settings","User APIs support security settings.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-082","REQ-059.15","Part 6","L2623; L2633","Support operations such as: || Activity History","User APIs support activity history.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-083","REQ-064.02","Part 6","L2833–L2843","Examples include: / Email delivery / Notification delivery / Synchronization / Scheduled maintenance / Reporting","The asynchronous-processing design covers email, notifications, synchronization, maintenance, and reporting workloads.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-084","REQ-078.14","Part 8","L4053–L4069","USER RETENTION STRATEGY / The AI should design retention mechanisms. / Examples: / Weekly leaderboard / Achievement system (future) / Reward milestones / Personalized survey recommendations / Notifications / Educational content","A retention design considers leaderboards, future achievements, reward milestones, recommendations, notifications, and education.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-085","REQ-093.09","Part 10","L4915–L4927","Suggested statuses: / Not Started / Planning / Development / Testing / Review / Completed","The roadmap supports the suggested Not Started, Planning, Development, Testing, Review, and Completed statuses.","Illustrative example or explicitly suggested option; the controlling MUST/SHOULD obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-086","REQ-070.01","Part 7","L3293–L3309","Suggested order: / 1\. Wallet Summary / 2\. Available Surveys / 3\. Pending Rewards / 4\. Mature Rewards / 5\. Weekly Leaderboard / 6\. Recent Activity / 7\. Notifications / 8\. Announcements","Suggested dashboard information order.","Suggested order only; excluded from the formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-087","REQ-074.05","Part 8","L3615–L3621","Avoid unrealistic claims such as: / ""Get rich quickly"" / ""Guaranteed income"" / ""Easy money without effort""","Examples of unrealistic marketing claims.","Illustrative prohibited-claim examples; the broad prohibition remains a formal requirement.","No"
"MAY_SOURCE_OPTION","MAY-088","REQ-036.22","Part 3","L1613","The roadmap should be suitable for tools such as Notion and should allow tasks to be checked off interactively as development progresses.","Notion as an example interactive roadmap tool.","Named tool example only; the generic project-management compatibility requirement remains formal.","No"
"MAY_SOURCE_OPTION","MAY-089","REQ-093.10","Part 10","L4929","The roadmap should be compatible with project management tools such as Notion.","Notion as an example compatible project-management tool.","Named tool example only; the generic compatibility requirement remains formal.","No"
"MAY_SOURCE_OPTION","MAY-090","REQ-081.08","Part 9","L4259–L4277","AWS Free Tier / AWS Lambda / Cloudflare Workers / Cloudflare Pages / Google Cloud Free Tier / Google Apps Script (where appropriate) / Supabase / Neon PostgreSQL / Managed MySQL/MariaDB solutions / Other suitable startup platforms","Named examples of startup infrastructure services.","Options introduced with ‘such as’; excluded from the formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-091","REQ-085.01","Part 9","L4467–L4479","Examples: / Email sending / Survey synchronization / Reward updates / Notification processing / Analytics processing / Scheduled tasks","Example background-processing workloads.","Examples only; the reliable job-system obligation is captured separately.","No"
"MAY_SOURCE_OPTION","MAY-092","REQ-075.19","Part 8","L3733–L3741","Examples: / How online surveys work / How survey rewards are calculated / How to qualify for more surveys / Common survey mistakes","Example Survey Education article topics.","Examples only; excluded from the formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-093","REQ-075.19","Part 8","L3747–L3755","Examples: / How to maximize rewards / Understanding reward points / Withdrawal guides / Platform updates","Example Rewards Education article topics.","Examples only; excluded from the formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-094","REQ-075.19","Part 8","L3761–L3769","Examples: / Company updates / Security explanations / Payment transparency / User success stories","Example Trust Content article topics.","Examples only; excluded from the formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-095","REQ-075.19","Part 8","L3777–L3785","Examples: / ""Best survey platforms"" / ""How to earn rewards online"" / ""Legitimate survey websites"" / ""How online rewards work""","Example search-based article titles.","Examples only; excluded from the formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-096","REQ-076.03","Part 8","L3819–L3825","Examples: / How EarnPearls works / Survey tutorials / Reward explanations","Example educational-video topics.","Examples only; excluded from the formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-097","REQ-076.03","Part 8","L3829–L3835","Examples: / New features / Provider additions / Community updates","Example platform-update video topics.","Examples only; excluded from the formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-098","REQ-076.03","Part 8","L3839–L3845","Examples: / Behind the platform / Security practices / Transparency videos","Example trust-building video topics.","Examples only; excluded from the formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-099","REQ-076.07","Part 8","L3895–L3897","LinkedIn / Future consideration.","LinkedIn as a future consideration.","Future consideration only; the separate SHOULD NOT launch-priority clause remains formal.","No"
"MAY_SOURCE_OPTION","MAY-100","REQ-077.17","Part 8","L3981–L3995","Example: / Pillar: / ""Complete Guide To Online Rewards"" / Supporting articles: / Survey tips / Reward systems / Withdrawal methods / Safety guides","Example blog SEO pillar and supporting articles.","Example content only; excluded from the formal REQ total.","No"
