"record_type","record_id","label","title","description","source_locator","source_excerpt","status","owner","decision_or_evidence_needed","dependencies","notes"
"ODR","ODR-015","ODR","Data-retention schedule","Retention policies are required but no durations, legal holds, deletion windows, or anonymization rules are specified.","L2337–L2353","DATA RETENTION / The AI should recommend retention policies for different categories of data. / Examples: / Logs / Audit records / Notifications / Sessions / Support tickets / The recommendations should balance operational needs, storage costs, and applicable legal obligations.","Open","Product Owner","Approve category-by-category retention, legal hold, deletion/anonymization, backup expiry, and exception workflow.","EFE-003; EFE-011",""
"ODR","ODR-016","ODR","Provider-specific maturity and cleared-funds rules","The Constitution defines lifecycle stages and estimated maturity display but not the provider-specific settlement, risk, or cleared-funds policy.","L665–L713; L2191–L2209","BALANCE MATURITY SYSTEM / One of the most important features. / Every earning should have a lifecycle. / Example: / Survey Completed / ↓ / Pending / ↓ / Validated / ↓ / Mature / ↓ / Withdrawable / ↓ / Paid / Every transaction must show: / Status / Provider / Earned Date / Estimated Maturity Date / Amount / Points / USD / Notes / The user should never need to contact support to understand their balance. || Survey Domain / Design the schema to support multiple providers through a common abstraction. / Track information such as: / Survey availability / User participation / Status / Reward / Completion timestamps / Validation status / The exact implementation should respect provider requirements.","Open","Product Owner","Approve each provider’s validation evidence, maturity conditions, reversal rules, cleared-funds gate, risk holds, and user messaging. Do not adopt a global time-only validation rule.","OCR-001; OCR-002; EFE-001",""
"ODR","ODR-017","ODR","Local-currency conversion display","Local currency is display-only, but the exchange-rate source, refresh cadence, rounding, stale-rate policy, and disclaimer are undefined.","L417–L427; L799–L805","Users should see: / Points / USD / Estimated Local Currency / Local currency is display-only. / All calculations, accounting, wallet balances, provider earnings, and business reporting must use USD as the source of truth. || Every page should display: / Points / USD / Estimated Local Currency","Open","Product Owner","Approve authoritative rate source, cadence, snapshot/rounding rules, supported currencies, and disclaimer.","EFE-007",""
"ODR","ODR-018","ODR","Reward economics and platform-margin policy","The platform must track provider revenue, user rewards, and margin, while reward rules are configurable; the split and accounting policy are not stated.","L4101–L4107; L5095–L5109","Revenue / Provider revenue / User rewards / Platform margin || BUSINESS RULE CONFIGURATION / Important business values must be configurable. / Examples: / 1000 Points \= 1 USD / Withdrawal threshold / Available countries / Reward rules / Feature availability","Open","Product Owner","Approve provider-to-user reward calculation, margin, rounding, promotional funding, negative adjustments, and disclosure policy.","ODR-016; EFE-001",""
"ODR","ODR-019","ODR","Age, residency, KYC, and eligibility policy","The Constitution does not define minimum age, residency proof, duplicate-person rules, sanctions screening, KYC thresholds, or restricted-person policy.","GAP — no controlling Constitution clause","No Constitution wording is claimed for this gap.","Open","Product Owner","Approve age/residency eligibility, identity/KYC triggers, duplicate-account rules, sanctions/AML applicability, and country-specific exceptions.","EFE-003; EFE-010",""
"ODR","ODR-020","ODR","Manual wallet adjustment governance","The API scope includes wallet adjustments and the ledger must trace financial changes, but maker-checker, reason codes, limits, and reversal policy are open.","L2183–L2187; L2769–L2791","Transaction history / Adjustment history / All financial changes should be traceable through transactions rather than by directly editing balances. || ADMIN APIs / Design secure administrative APIs for: / User Management / Platform Settings / Wallet Adjustments / Withdrawal Management / CMS Management / Analytics / Audit Logs / Notifications / Moderation / Administrative operations should require appropriate permissions.","Open","Product Owner","Approve adjustment permissions, dual control, reason/evidence fields, thresholds, reversals, and user notification.","None identified",""
"ODR","ODR-021","ODR","Support service levels","Support response time is measured and estimated response time is displayed, but no SLA or escalation targets are defined.","L1873–L1877; L3407–L3425","Withdrawal Request Rate / Support Response Time / User Retention || SUPPORT EXPERIENCE / Support should feel conversational. / Include: / Knowledge Base / Search / Support Tickets / Ticket Timeline / Attachments / Status Updates / Estimated Response Time","Open","Product Owner","Approve response/resolution targets by priority, business hours, escalation, pause conditions, and disclosure wording.","None identified",""
"ODR","ODR-022","ODR","Marketing consent and communication preferences","Marketing and retention email capabilities are required, but consent, suppression, frequency, and preference policy are not defined.","L3999–L4029; L4415–L4427","EMAIL MARKETING SYSTEM / Create an email marketing framework. / Include: / Registration Emails / Welcome email / Verification email / Engagement Emails / New surveys available / Platform updates / Reward reminders / Trust Emails / Security notifications / Account activity / Retention Emails / Inactive user campaigns / Personalized recommendations || Use email infrastructure for: / Account verification / Password reset / Security notifications / Withdrawal notifications / Support updates / Marketing communication (future)","Open","Product Owner","Approve consent basis, opt-in/out, suppression, frequency caps, quiet hours, and country-specific marketing rules.","EFE-003; EFE-005",""
"ODR","ODR-023","ODR","Audit and financial-history retention/immutability","Audit and withdrawal histories should be immutable, but storage guarantees, retention, corrections, and privileged access are not specified.","L2233–L2235; L2313–L2325; L1407–L1443","Administrative actions / The history should be immutable wherever practical. || Audit Domain / Maintain immutable records of significant administrative and system actions. / Examples include: / Settings changes / User moderation / Permission changes / Administrative actions || AUDIT LOGGING / Every important administrative action should be logged. / Examples: / User modifications / Permission changes / Withdrawal approvals / Settings changes / Content updates / Login attempts / Failed authentication events / Audit logs should include: / Timestamp / Administrator / Action / Target / Reason (where applicable) / IP information if appropriate / Outcome / Audit records should be searchable.","Open","Product Owner","Approve append-only guarantees, correction model, retention, access, export, integrity verification, and legal-hold handling.","ODR-015; EFE-003",""
"ODR","ODR-024","ODR","Session, rate-limit, and abuse thresholds","Secure sessions, rate limiting, brute-force protection, OTP limiting, and abuse detection are required but numeric policies are absent.","L1451–L1479; L2867–L2887; L4431–L4443","The AI must propose a comprehensive security architecture that includes: / Secure authentication / Session management / CSRF protection / XSS protection / SQL injection prevention / Secure password hashing / Rate limiting / Brute-force protection / Input validation / Output encoding / Secure file handling / Secure API design / Security headers / Logging and monitoring || API SECURITY / The API architecture should include recommendations for: / Authentication / Authorization / Rate limiting / Input validation / Output encoding / Request logging / Abuse detection / Session security / Secret management || OTP INFRASTRUCTURE / OTP requirements: / Secure generation / Expiration / Rate limiting / Abuse prevention / Logging","Open","Product Owner","Approve session lifetimes, refresh/revocation, login/OTP/API thresholds, lockout behavior, exceptions, and monitoring alerts.","EFE-012",""
"ODR","ODR-025","ODR","Account deletion, restoration, and anonymization","Soft deletion and restoration are required, but retention, anonymization, owner access, and irreversible deletion rules are not defined.","L1169–L1175; L2163","Lock account / Unlock account / Delete account (soft delete) / Restore account || Only collect data that is necessary for the platform.","Open","Product Owner","Approve soft-delete duration, restoration authority, anonymization/deletion workflow, financial/audit exceptions, and user notices.","ODR-015; EFE-003",""
"ODR","ODR-026","ODR","Leaderboard privacy and competition rules","Ranking methods and hidden-user controls are configurable, but opt-out, pseudonyms, ties, anti-gaming, prizes, and dispute rules are not defined.","L717–L747; L3367–L3381","LEADERBOARD SYSTEM / Implement a weekly leaderboard. / Leaderboard should encourage healthy competition. / Possible rankings: / Top Weekly Earners / Top Monthly Earners / Most Surveys Completed / Highest Streak / Highest Referral Count (future feature) / The Super Admin must be able to: / Enable or disable leaderboards. / Reset periods. / Choose ranking methods. / Hide specific users if required. / Create seasonal competitions. / The architecture should support future gamification. || LEADERBOARD EXPERIENCE / Weekly leaderboard should include: / Rank / Display Name / Points Earned / Surveys Completed / Achievement Badges (future) / The design should encourage participation without promoting unhealthy competition.","Open","Product Owner","Approve privacy/opt-out, display-name rules, rank calculations, ties, exclusions, anti-fraud, seasonal prizes, and disputes.","None identified",""
"ODR","ODR-027","ODR","Provider reconciliation fallback","Status synchronization is required when supported, but the verified reconciliation process when provider callbacks are absent or disputed is undefined.","L771–L781; L1367–L1383; L2807–L2825","When a survey is clicked: / Open according to provider integration requirements. / Do not modify provider workflows in ways that violate provider agreements. / After completion: / Automatically synchronize status if supported. / If immediate confirmation is unavailable, clearly explain that validation may take time depending on the provider. || API MANAGEMENT / The admin should be able to: / View API status / Enable or disable integrations / View synchronization logs / Monitor failures / Retry synchronization jobs / View response times / Receive alerts on repeated failures || WEBHOOK ARCHITECTURE / Where supported by providers, design a secure webhook handling system. / Requirements include: / Verification of incoming requests / Logging / Retry handling / Idempotency / Error reporting / Monitoring / Webhook processing should be resilient and auditable.","Open","Product Owner","Approve polling/import/manual-evidence methods, matching keys, conflict rules, operator permissions, and audit evidence.","ODR-014; ODR-016; EFE-001",""
"ODR","ODR-028","ODR","Administrative account-state taxonomy and transitions","Part 1 names Normal Verified and Limited states, while Part 3 gives Active, Limited, Suspended, Disabled, and Archived as examples; the authoritative V1 taxonomy and transitions are not decided.","L457–L469; L1181–L1197","USER ACCOUNT STATUS / The platform must support administrative account states. / Normal Verified Account / and / Limited Account / The Limited Account system is an administrative moderation tool that allows selected platform capabilities to be enabled or disabled without deleting the account. / The Super Admin must be able to create multiple reusable Limit Templates (for example, 5–10 templates), each with configurable permissions. Permissions may include access to surveys, withdrawals, profile editing, password changes, wallet visibility, referrals, support features, and other modules. Hidden modules should not appear in the interface, and direct URL access should be denied with an appropriate authorization response. || ACCOUNT MODERATION / Every account should support administrative states. / Examples include: / Active / Limited / Suspended / Disabled / Archived / The platform should be designed so additional states can be added later without requiring database redesign.","Open","Product Owner","Approve canonical state names, meanings, allowed transitions, UI labels, migration rules, Limit Template interaction, and effects on authentication, surveys, wallet, withdrawals, and support.","ODR-013; ODR-025; DDR-005; DDR-015","The Part 3 example list is not treated as a closed formal enum until this decision is approved."
