"exact_constitution_part","heading_line","exact_heading","coverage_status","structural_parent_id","disposition"
"Part 10","L4787","MASTER EXECUTION RULE","Formal REQ children extracted","REQ-180",""
"Part 10","L4799","STEP 1 — BUSINESS ANALYSIS","Formal REQ children extracted","REQ-181",""
"Part 10","L4825","STEP 2 — PRODUCT DEFINITION","Formal REQ children extracted","REQ-182",""
"Part 10","L4853","STEP 3 — SYSTEM DESIGN","Formal REQ children extracted","REQ-183",""
"Part 10","L4877","STEP 4 — UI/UX DESIGN","Formal REQ children extracted","REQ-184",""
"Part 10","L4895","STEP 5 — DEVELOPMENT ROADMAP","Formal REQ children extracted","REQ-185",""
"Part 10","L4933","DEVELOPMENT WORKFLOW","Formal REQ children extracted","REQ-186",""
"Part 10","L4939","PHASE 1 — FOUNDATION","Formal REQ children extracted","REQ-187",""
"Part 10","L4955","PHASE 2 — USER PLATFORM","Formal REQ children extracted","REQ-188",""
"Part 10","L4973","PHASE 3 — REWARDS ENGINE","Formal REQ children extracted","REQ-189",""
"Part 10","L4989","PHASE 4 — SURVEY SYSTEM","Formal REQ children extracted","REQ-190",""
"Part 10","L5003","PHASE 5 — WITHDRAWAL SYSTEM","Formal REQ children extracted","REQ-191",""
"Part 10","L5017","PHASE 6 — ADMIN ERP","Formal REQ children extracted","REQ-192",""
"Part 10","L5037","PHASE 7 — GROWTH SYSTEM","Formal REQ children extracted","REQ-193",""
"Part 10","L5053","PHASE 8 — OPTIMIZATION","Formal REQ children extracted","REQ-194",""
"Part 10","L5067","CODE QUALITY REQUIREMENTS","Formal REQ children extracted","REQ-195",""
"Part 10","L5095","BUSINESS RULE CONFIGURATION","Formal REQ children extracted","REQ-196",""
"Part 10","L5117","TESTING REQUIREMENTS","Formal REQ children extracted","REQ-197",""
"Part 10","L5143","DOCUMENTATION REQUIREMENTS","Formal REQ children extracted","REQ-198",""
"Part 10","L5189","SUPER ADMIN PRINCIPLE","Formal REQ children extracted","REQ-199",""
"Part 10","L5225","SECURITY PRINCIPLE","Formal REQ children extracted","REQ-200",""
"Part 10","L5247","AI SELF-REVIEW RULE","Formal REQ children extracted","REQ-201",""
"Part 10","L5271","COMMUNICATION STYLE","Formal REQ children extracted","REQ-202",""
"Part 10","L5293","FINAL PROJECT VISION","Formal REQ children extracted","REQ-203",""
"Part 10","L5311","FINAL COMMAND TO AI","Formal REQ children extracted","REQ-204",""
