"requirement_id","parent_requirement_id","exact_constitution_part","exact_constitution_section","verified_exact_line_range","source_wording","source_digest_sha256","source_summary","source_modality","requirement_type","delivery_target","classification","responsible_layer","dependencies","atomic_acceptance_criteria","related_phase_0_document","evidence_requirement","owner_approval_state","implementation_status"
"REQ-002.05","REQ-002","Part 1","Controlled Blueprint Workflow","L131; L141","Follow this exact sequence. || Suggest improvements.","d102455f7a8dfdbad4e9f3f17da9638eb84de885de8a4898304687e16f8e1594","Phase 1 proposes improvements.","MUST","Governance","Pre-implementation deliverable","CD","Shared governance","None stated by the Constitution","Workflow and audit evidence confirm this statement: “Phase 1 proposes improvements.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Approval/audit record showing the required gate or workflow was followed.","Pending independent review","Not started"
"REQ-002.06","REQ-002","Part 1","Controlled Blueprint Workflow","L131; L143","Follow this exact sequence. || Challenge assumptions.","90cb2e64b55b1f2d14ac137c66437a9bfe7fc0788ada5ef0eb85a852c6f6e7f6","Phase 1 challenges assumptions.","MUST","Governance","Pre-implementation deliverable","CD","Shared governance","None stated by the Constitution","Workflow and audit evidence confirm this statement: “Phase 1 challenges assumptions.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Approval/audit record showing the required gate or workflow was followed.","Pending independent review","Not started"
"REQ-002.07","REQ-002","Part 1","Controlled Blueprint Workflow","L131; L145","Follow this exact sequence. || Recommend better alternatives whenever appropriate.","fe8cfef9666caa5dfdfd60c4f20737947b14a9b6be6bffa652017c85d858913d","Phase 1 recommends better alternatives when appropriate.","MUST","Governance","Pre-implementation deliverable","CD","Shared governance","None stated by the Constitution","Workflow and audit evidence confirm this statement: “Phase 1 recommends better alternatives when appropriate.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Approval/audit record showing the required gate or workflow was followed.","Pending independent review","Not started"
"REQ-002.08","REQ-002","Part 1","Controlled Blueprint Workflow","L149–L155","Phase 2 / Create a complete Business Blueprint. / This blueprint must contain a minimum of approximately 100 pages. / It should be detailed enough that a new company could operate solely from this document.","ef9144f336edf1b89850e6ddabaf14858f97989b41a98f96b90972003a954de9","Phase 2 produces a complete Business Blueprint.","MUST","Documentation","Pre-implementation deliverable","CD","Shared governance","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “Phase 2 produces a complete Business Blueprint.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-002.09","REQ-002","Part 1","Controlled Blueprint Workflow","L151–L155","Create a complete Business Blueprint. / This blueprint must contain a minimum of approximately 100 pages. / It should be detailed enough that a new company could operate solely from this document.","44a682ee37820dc6bf2ecb29c47f6b74be3540e0cf03f927e682ab667ea94933","The Business Blueprint targets approximately 100 pages and sufficient operational depth for a new company to operate from it.","MUST","Documentation","Pre-implementation deliverable","CD","Shared governance","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The Business Blueprint targets approximately 100 pages and sufficient operational depth for a new company to operate from it.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-002.10","REQ-002","Part 1","Controlled Blueprint Workflow","L157; L159","The Business Blueprint should include (among other things): || Executive Summary","8c4c1207d865aacdc06b81b9c174ad27c2257346318c037ddc2df0d164ef21af","The Business Blueprint includes an Executive Summary.","SHOULD","Documentation","Pre-implementation deliverable","REC","Shared governance","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The Business Blueprint includes an Executive Summary.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-002.11","REQ-002","Part 1","Controlled Blueprint Workflow","L157; L161","The Business Blueprint should include (among other things): || Vision","573fd54e0fb0cf13688a696389698886a7705f65ee8ecd0b8da56d031ba433e0","The Business Blueprint includes the Vision.","SHOULD","Documentation","Pre-implementation deliverable","REC","Shared governance","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The Business Blueprint includes the Vision.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-002.12","REQ-002","Part 1","Controlled Blueprint Workflow","L157; L163","The Business Blueprint should include (among other things): || Mission","71cbfa0fd93984265a151d0136253d806ec98f8c775b6812151eb84b41a80e0d","The Business Blueprint includes the Mission.","SHOULD","Documentation","Pre-implementation deliverable","REC","Shared governance","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The Business Blueprint includes the Mission.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-002.13","REQ-002","Part 1","Controlled Blueprint Workflow","L157; L165","The Business Blueprint should include (among other things): || Brand Strategy","9983d8726a5f14c8f74a7d32ad121dbae6f2af461bb073123c7fc9f9b7faa13b","The Business Blueprint includes Brand Strategy.","SHOULD","Documentation","Pre-implementation deliverable","REC","Shared governance","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The Business Blueprint includes Brand Strategy.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-002.14","REQ-002","Part 1","Controlled Blueprint Workflow","L157; L167","The Business Blueprint should include (among other things): || Market Analysis","10c40dcd5314f557e7ff13adfc446af86f2b92c3a3882f713934eb2c25f57ca1","The Business Blueprint includes Market Analysis.","SHOULD","Documentation","Pre-implementation deliverable","REC","Shared governance","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The Business Blueprint includes Market Analysis.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-002.15","REQ-002","Part 1","Controlled Blueprint Workflow","L157; L169","The Business Blueprint should include (among other things): || Competitor Analysis","679b1bd8dd789e0b6a06bfb282fa7915ce82114cf99e92bbe71fd9e19a802ef8","The Business Blueprint includes Competitor Analysis.","SHOULD","Documentation","Pre-implementation deliverable","REC","Shared governance","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The Business Blueprint includes Competitor Analysis.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-002.16","REQ-002","Part 1","Controlled Blueprint Workflow","L157; L171","The Business Blueprint should include (among other things): || SWOT Analysis","8972832843291b2651420c4e5ac894d2f5167bab0d6b15a89e8a123586391549","The Business Blueprint includes SWOT Analysis.","SHOULD","Documentation","Pre-implementation deliverable","REC","Shared governance","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The Business Blueprint includes SWOT Analysis.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-002.17","REQ-002","Part 1","Controlled Blueprint Workflow","L157; L173","The Business Blueprint should include (among other things): || Revenue Model","afb42b843e67e5a787562347f002e8580547530f84c686094d33f853c794f816","The Business Blueprint includes the Revenue Model.","SHOULD","Documentation","Pre-implementation deliverable","REC","Shared governance","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The Business Blueprint includes the Revenue Model.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-002.18","REQ-002","Part 1","Controlled Blueprint Workflow","L157; L175","The Business Blueprint should include (among other things): || Growth Strategy","206ea8b404ca11c536d395ef47a4849174f00268a63034419b6ed337b629fad6","The Business Blueprint includes Growth Strategy.","SHOULD","Documentation","Pre-implementation deliverable","REC","Shared governance","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The Business Blueprint includes Growth Strategy.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-002.19","REQ-002","Part 1","Controlled Blueprint Workflow","L157; L177","The Business Blueprint should include (among other things): || User Journey","b2e2d37507eb23fb008a111e0c85b0924870c89562fc510f126807475c3731cd","The Business Blueprint includes the User Journey.","SHOULD","Documentation","Pre-implementation deliverable","REC","Shared governance","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The Business Blueprint includes the User Journey.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-002.20","REQ-002","Part 1","Controlled Blueprint Workflow","L157; L179","The Business Blueprint should include (among other things): || Customer Psychology","06ea70531629f350542a8603cb372feca3d29433f081d83184607e193e945225","The Business Blueprint includes Customer Psychology.","SHOULD","Documentation","Pre-implementation deliverable","REC","Shared governance","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The Business Blueprint includes Customer Psychology.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-002.21","REQ-002","Part 1","Controlled Blueprint Workflow","L157; L181","The Business Blueprint should include (among other things): || Risk Analysis","fd34c06923bafcfe1c145e40c3c2f31d2928ed0d69e256063df4ec462ed5349f","The Business Blueprint includes Risk Analysis.","SHOULD","Documentation","Pre-implementation deliverable","REC","Shared governance","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The Business Blueprint includes Risk Analysis.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-002.22","REQ-002","Part 1","Controlled Blueprint Workflow","L157; L183","The Business Blueprint should include (among other things): || Fraud Prevention Strategy","75d8a99f6e42f5ed842c013116637864e4ba8570bc960904770bbab0b09c4831","The Business Blueprint includes Fraud Prevention Strategy.","SHOULD","Documentation","Pre-implementation deliverable","REC","Shared governance","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The Business Blueprint includes Fraud Prevention Strategy.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-002.23","REQ-002","Part 1","Controlled Blueprint Workflow","L157; L185","The Business Blueprint should include (among other things): || Product Roadmap","de3e788c9ccebc46fa4744e9db488500c238502732914b5623638ee1bc7fd090","The Business Blueprint includes the Product Roadmap.","SHOULD","Documentation","Pre-implementation deliverable","REC","Shared governance","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The Business Blueprint includes the Product Roadmap.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-002.24","REQ-002","Part 1","Controlled Blueprint Workflow","L157; L187","The Business Blueprint should include (among other things): || Expansion Strategy","53a27de092af006a469adb11c996f8bb470544e39ed6ca88fcc41beee5031792","The Business Blueprint includes Expansion Strategy.","SHOULD","Documentation","Pre-implementation deliverable","REC","Shared governance","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The Business Blueprint includes Expansion Strategy.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-002.25","REQ-002","Part 1","Controlled Blueprint Workflow","L157; L189","The Business Blueprint should include (among other things): || Long-Term Vision","1fcdbf7a54040b7b495b2f8bfba927539e3a15e20a8a29785009240f9fabba95","The Business Blueprint includes the Long-Term Vision.","SHOULD","Documentation","Pre-implementation deliverable","REC","Shared governance","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The Business Blueprint includes the Long-Term Vision.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-002.26","REQ-002","Part 1","Controlled Blueprint Workflow","L193; L195","Phase 3 || Review your own Business Blueprint.","84ac97b05d7e480914f132ce8ab1019f20b5a54231bfd051a0a4ccd271beb3c9","Phase 3 reviews the Business Blueprint.","MUST","Governance","Pre-implementation deliverable","CD","Shared governance","None stated by the Constitution","Workflow and audit evidence confirm this statement: “Phase 3 reviews the Business Blueprint.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Approval/audit record showing the required gate or workflow was followed.","Pending independent review","Not started"
"REQ-002.27","REQ-002","Part 1","Controlled Blueprint Workflow","L193; L197","Phase 3 || Criticize it.","91ddae185883bf8f59f21e7821236d9badacf07140c5b72348e8165451d1d723","Phase 3 criticizes the Business Blueprint.","MUST","Governance","Pre-implementation deliverable","CD","Shared governance","None stated by the Constitution","Workflow and audit evidence confirm this statement: “Phase 3 criticizes the Business Blueprint.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Approval/audit record showing the required gate or workflow was followed.","Pending independent review","Not started"
"REQ-002.28","REQ-002","Part 1","Controlled Blueprint Workflow","L193; L199","Phase 3 || Find weaknesses.","63525075d2879ecb499388c24ff41a499f993ba0c4b553889bedb51d0b8eb245","Phase 3 identifies weaknesses in the Business Blueprint.","MUST","Governance","Pre-implementation deliverable","CD","Shared governance","None stated by the Constitution","Workflow and audit evidence confirm this statement: “Phase 3 identifies weaknesses in the Business Blueprint.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Approval/audit record showing the required gate or workflow was followed.","Pending independent review","Not started"
"REQ-002.29","REQ-002","Part 1","Controlled Blueprint Workflow","L193; L201","Phase 3 || Improve it.","737343ae589e81be8250f8c2c4388c096f29c14b106b60123bf1883b06ad8b51","Phase 3 improves the Business Blueprint.","MUST","Governance","Pre-implementation deliverable","CD","Shared governance","None stated by the Constitution","Workflow and audit evidence confirm this statement: “Phase 3 improves the Business Blueprint.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Approval/audit record showing the required gate or workflow was followed.","Pending independent review","Not started"
"REQ-002.30","REQ-002","Part 1","Controlled Blueprint Workflow","L193; L203","Phase 3 || Produce Version 2\.","93e1bb24fbbc9b0fd0411a31216642d2fd12784f4c06e18b864c08ae45b12089","Phase 3 produces Business Blueprint Version 2.","MUST","Governance","Pre-implementation deliverable","CD","Shared governance","None stated by the Constitution","Workflow and audit evidence confirm this statement: “Phase 3 produces Business Blueprint Version 2.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Approval/audit record showing the required gate or workflow was followed.","Pending independent review","Not started"
"REQ-002.31","REQ-002","Part 1","Controlled Blueprint Workflow","L207–L209","Phase 4 / Create a Product Blueprint.","4460951061b7af0c67a20dee7ba350e16e2c94efe8688a9840db21fb679b415f","Phase 4 produces a Product Blueprint.","MUST","Documentation","Pre-implementation deliverable","CD","Shared governance","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “Phase 4 produces a Product Blueprint.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-002.32","REQ-002","Part 1","Controlled Blueprint Workflow","L211; L213","Include: || Every page","26ef98245e229b857fe0f9d92a233321fb6995b4b9a78eadc5e8000be8514c9e","The Product Blueprint documents every page.","MUST","Documentation","Pre-implementation deliverable","CD","Shared governance","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The Product Blueprint documents every page.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-002.33","REQ-002","Part 1","Controlled Blueprint Workflow","L211; L215","Include: || Every screen","c34b7cb285faa4784fdd9ad693bbaa3d22712785cd4419a9ff76a3878a29b210","The Product Blueprint documents every screen.","MUST","Documentation","Pre-implementation deliverable","CD","Shared governance","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The Product Blueprint documents every screen.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-002.34","REQ-002","Part 1","Controlled Blueprint Workflow","L211; L217","Include: || Every workflow","e783bc7b4e7c1f6af95581531964db63b4fec6f86ba76cbf32cc8eea0f4bef6b","The Product Blueprint documents every workflow.","MUST","Documentation","Pre-implementation deliverable","CD","Shared governance","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The Product Blueprint documents every workflow.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-002.35","REQ-002","Part 1","Controlled Blueprint Workflow","L211; L219","Include: || Every button","e1713c8b55a21116a2592b1e6e66bed600062e2e1386197c8704252567105473","The Product Blueprint documents every button.","MUST","Documentation","Pre-implementation deliverable","CD","Shared governance","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The Product Blueprint documents every button.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-002.36","REQ-002","Part 1","Controlled Blueprint Workflow","L211; L221","Include: || Every user action","25eb4a46df537e0852b7ab76ca8229e3f9c2d6d301ae1c4efda80fc86ad7ddad","The Product Blueprint documents every user action.","MUST","Documentation","Pre-implementation deliverable","CD","Shared governance","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The Product Blueprint documents every user action.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-002.37","REQ-002","Part 1","Controlled Blueprint Workflow","L211; L223","Include: || Every notification","9ac33abf2e0d26104d15e97ab3c1515bcb4447a0c2e6acd5afb1a5ad40434bb2","The Product Blueprint documents every notification.","MUST","Documentation","Pre-implementation deliverable","CD","Shared governance","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The Product Blueprint documents every notification.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
